iter	Passed	Remaining
0	1	114
1	17	859
2	20	654
3	23	564
4	24	458
5	24	388
6	25	337
7	26	304
8	27	278
9	28	253
10	29	236
11	29	219
12	32	218
13	33	205
14	34	193
15	34	182
16	35	173
17	36	167
18	37	159
19	37	151
20	38	145
21	39	138
22	39	133
23	40	128
24	41	123
25	41	118
26	42	114
27	42	110
28	43	107
29	44	103
30	44	99
31	45	96
32	46	93
33	46	90
34	47	87
35	47	84
36	48	82
37	49	80
38	49	77
39	50	75
40	51	74
41	52	72
42	53	70
43	54	69
44	55	68
45	56	66
46	57	65
47	62	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	73	51
59	74	49
60	79	50
61	80	49
62	81	48
63	82	46
64	83	45
65	84	43
66	85	42
67	86	40
68	87	39
69	88	38
70	90	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	97	29
77	98	27
78	99	26
79	100	25
80	102	23
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	107	16
87	108	14
88	108	13
89	109	12
90	110	10
91	110	9
92	111	8
93	111	7
94	112	5
95	112	4
96	113	3
97	114	2
98	114	1
99	115	0
